id,council_ref,council_name,reference,description,address,postcode,status,app_type,date_received,date_validated,date_decided,lat,lng,portal_url,application_url,scraped_at
E60000071_TD41FIJBJTS00,E60000071,Leeds,Change of use from barn to form two dwellinghouses with associated alterations including new rooflig,,65 Woodhall Lane Stanningley Pudsey LS28 5NZ,LS28 5NZ,,,,,,53.809317,-1.695308,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD41FIJBJTS00,2026-05-01T22:40:48.618666
E60000071_TD41F0JBJTQ00,E60000071,Leeds,"1 Hawthorn: Remove deadwood/hangers. 2 Hawthorn: Fell, poor quality tree with limited SULE. 8 Leylan",,St Edmunds Church Lidgett Park Road Lidgett Park Leeds LS8 1JN,LS8 1JN,,,,,,53.837796,-1.513705,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD41F0JBJTQ00,2026-05-01T22:40:47.493962
E60000071_TD413GJBJSR00,E60000071,Leeds,"Certificate of Proposed Lawfulness for an extension to the gable, dormer window to the rear, rooflig",,23 Buckstone Oval Moortown Leeds LS17 5HF,LS17 5HF,,,,,,53.8537,-1.561681,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD413GJBJSR00,2026-05-01T22:40:47.390192
E60000071_TD40ZNJBJSH00,E60000071,Leeds,Demolition of existing Sunday School and erection of Detached dwelling,,Allerton Bywater Methodist Church Main Street Allerton Bywater Castleford WF10 2DL,WF10 2DL,,,,,,53.74566,-1.368943,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD40ZNJBJSH00,2026-05-01T22:40:46.264700
E60000071_TD46FBJBJUU00,E60000071,Leeds,G1: Crown lift group of trees along right of way to 4m for access.,,Police Station Boston Road Wetherby LS22 5HA,LS22 5HA,,,,,,53.925147,-1.385582,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD46FBJBJUU00,2026-05-01T22:40:45.232715
E60000071_TD46CYJB14E00,E60000071,Leeds,T1 Western Red Cedar: The request is to remove the diseased trunks and save the remaining ones where,,Castle Grove Masonic Hall Castle Grove Drive Headingley Leeds LS6 4BP,LS6 4BP,,,,,,53.828477,-1.578412,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD46CYJB14E00,2026-05-01T22:40:41.920223
E60000071_TD4BYZJBJVV00,E60000071,Leeds,1 x Acer: Request to fell remove due to extensive lower stem damage and decay.,,16 Farnham Close West Park Leeds LS16 5RR,LS16 5RR,,,,,,53.829282,-1.590239,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD4BYZJBJVV00,2026-05-01T22:40:40.933457
E60000071_TD4O5DJB2O200,E60000071,Leeds,Application to modify or discharge a section 106 relating to planning application 20/04141/OT (22/03,,"Land Off York Road, Killingbeck Bridge And Selby Road Leeds LS14",,,,,,,,,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD4O5DJB2O200,2026-05-01T22:40:39.940426
E60000071_TD4BY8JBJVR00,E60000071,Leeds,Extension to existing outbuilding to rear; new first floor windows to rear and two storey side infil,,2 Victoria Place Clifford Wetherby LS23 6JJ,LS23 6JJ,,,,,,53.889975,-1.352502,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD4BY8JBJVR00,2026-05-01T22:40:39.939676
E60000071_TD41B2JBJT600,E60000071,Leeds,"Consent, agreement or approval of condition 5 to planning application 23/00574/FU",,Chestnut House 2 Woodlands Gardens Scarcroft Leeds LS14 3HL,LS14 3HL,,FU,,,,53.863276,-1.450915,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD41B2JBJT600,2026-05-01T22:40:38.796619
E60000071_TD419VJBJT400,E60000071,Leeds,"Consent, agreement or approval required by condition 3 (Sample Wall/Roof Materials) of Planning Appl",,Marrakech 58 Clara Drive Calverley Pudsey LS28 5QP,LS28 5QP,,FU,,,,53.832464,-1.696706,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD419VJBJT400,2026-05-01T22:40:37.558152
E60000071_TD419MJBJT200,E60000071,Leeds,Installation of extension to chimney flue,,Straits Aire 22 - 30 Merrion Street Leeds LS2 8JG,LS2 8JG,,,,,,53.800732,-1.542009,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD419MJBJT200,2026-05-01T22:40:36.226530
E60000071_TD411SJBJSL00,E60000071,Leeds,Addition of a pitched roof to replace existing flat roof to existing single storey rear extension,,34 Graveleythorpe Road Whitkirk Leeds LS15 7EH,LS15 7EH,,,,,,53.801677,-1.456076,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD411SJBJSL00,2026-05-01T22:40:34.998416
E60000071_TD41DNJBJTM00,E60000071,Leeds,T1 Bay: Reduce in height by 3m to 5m high and reshape. T2 Hazel: Reduce back branch spread over the ,,301 - 303 Chapeltown Road Chapeltown Leeds LS7 3JT,LS7 3JT,,,,,,53.821577,-1.533001,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD41DNJBJTM00,2026-05-01T22:40:33.870332
E60000071_TD41DFJBJTK00,E60000071,Leeds,"Part two storey side, part single storey rear extension; single storey extension to detached garage",,6 Moor Allerton Avenue Moor Allerton Leeds LS17 6SQ,LS17 6SQ,,,,,,53.842799,-1.52427,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD41DFJBJTK00,2026-05-01T22:40:33.769258
E60000071_TD41D0JBJTI00,E60000071,Leeds,T1: Crown lift to facilitate 4m clearance over the driveway.,,Flat B 2 Park Villas Lidgett Park Leeds LS8 1DL,LS8 1DL,,,,,,53.840874,-1.508122,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD41D0JBJTI00,2026-05-01T22:40:30.183541
E60000071_TD4109JBJSJ00,E60000071,Leeds,Listed building application for replacement works to roofing including new slates and to replace fro,,38 Headingley Lane Headingley Leeds LS6 2EB,LS6 2EB,,,,,,53.815741,-1.563336,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD4109JBJSJ00,2026-05-01T22:40:29.060660
E60000071_TD41EEJBJTO00,E60000071,Leeds,T1 Sycamore: Fell to ground level. Damaging boundary wall out onto public footpath. Wall been repair,,Flat 1 301 - 303 Chapeltown Road Chapeltown Leeds LS7 3JT,LS7 3JT,,,,,,53.821577,-1.533001,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD41EEJBJTO00,2026-05-01T22:40:28.034143
E60000071_TD41BJJBJTA00,E60000071,Leeds,Variation of condition 4 (Window Details) to previously approved Planning Application 25/07477/FU (S,,21 River View Boston Spa Wetherby LS23 6BA,LS23 6BA,,,,,,53.901686,-1.334407,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD41BJJBJTA00,2026-05-01T22:40:26.979771
E60000071_TD41BCJBJT800,E60000071,Leeds,Certificate of Proposed Lawful Development for a single storey extension to the rear,,10 Tinshill Drive Cookridge Leeds LS16 7DH,LS16 7DH,,,,,,53.856761,-1.615969,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD41BCJBJT800,2026-05-01T22:40:25.821255
E60000071_TD6HR9JBKPS00,E60000071,Leeds,First-storey extension to side,,3 Nethercliffe Road Guiseley Leeds LS20 9HL,LS20 9HL,,,,,,53.880959,-1.717331,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD6HR9JBKPS00,2026-05-01T22:40:24.373576
E60000071_TD66OPJBKNL00,E60000071,Leeds,Consent agreement or approval required by condition 36 (flood evacuation plan) of planning applicati,,Water Lane Holbeck Leeds LS11 9UD,LS11 9UD,,FU,,,,53.790042,-1.557835,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD66OPJBKNL00,2026-05-01T22:40:23.233751
E60000071_TD6C8PJBKOP00,E60000071,Leeds,Retrospective application for Two internally illuminated fascia signs; One Internally illuminated pr,,2 Headingley Central Otley Road Headingley Leeds LS6 2UE,LS6 2UE,,,,,,53.822257,-1.578322,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD6C8PJBKOP00,2026-05-01T22:40:21.890483
E60000071_TD5VTIJBK1400,E60000071,Leeds,Removal of condition 21 (BREEAM) to previously approved Planning Application 23/01584/FU (Constructi,,Gateways School Harewood Avenue Harewood Leeds LS17 9LE,LS17 9LE,,,,,,53.899536,-1.509808,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD5VTIJBK1400,2026-05-01T22:40:20.456600
E60000071_TD68QKJB2O200,E60000071,Leeds,Listed Building consent for single storey rear infill extension; Alterations to fenestration; Intern,,Stubbings Farm Leeds Road Otley LS21 1DN,LS21 1DN,,,,,,53.900164,-1.664211,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD68QKJB2O200,2026-05-01T22:40:19.303567
E60000071_TD612IJBKM500,E60000071,Leeds,Single storey front porch extension; single storey rear extension; addition of dormer with windows t,,11 Shaw Lane Gardens Guiseley Leeds LS20 9JQ,LS20 9JQ,,,,,,53.875525,-1.700105,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD612IJBKM500,2026-05-01T22:40:15.970389
E60000071_TD66NOJBKNJ00,E60000071,Leeds,Change of use from convenience store (Class E) to flexible Class E or laundrette use (Sui Generis),,23 Bramley Shopping Centre Town Street Bramley Leeds LS13 2ET,LS13 2ET,,,,,,53.811865,-1.626584,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD66NOJBKNJ00,2026-05-01T22:40:14.735875
E60000071_TD6HQVJBKPQ00,E60000071,Leeds,Change of use from public house to create four residential apartments (Use Class C3) at upper floors,,The Borough Arms Albion Street Morley Leeds LS27 8DT,LS27 8DT,,,,,,53.745809,-1.600816,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD6HQVJBKPQ00,2026-05-01T22:40:13.224088
E60000071_TD6C7JJBKON00,E60000071,Leeds,"Part two storey, part single storey front and side extension; conversion of ground floor rear window",,16 Mayo Close Roundhay Leeds LS8 2PX,LS8 2PX,,,,,,53.827316,-1.492039,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD6C7JJBKON00,2026-05-01T22:40:11.958392
E60000071_TD5VU3JBK1600,E60000071,Leeds,"4.00m single storey rear extension, 3.60m to ridge height and 2.50m to eaves",,37 Spennithorne Avenue Lawnswood Leeds LS16 6HZ,LS16 6HZ,,,,,,53.842751,-1.599865,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD5VU3JBK1600,2026-05-01T22:40:10.860861
E60000071_TD5VT6JBK1200,E60000071,Leeds,Certificate of Proposed Lawful Development for a single storey side extension,,8 Meyrick Avenue Wetherby LS22 6SP,LS22 6SP,,,,,,53.932674,-1.375861,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD5VT6JBK1200,2026-05-01T22:40:09.908924
E60000071_TD5VSMJBK1000,E60000071,Leeds,Demolition of existing forecourt outbuilding and erection of a single-storey extension to existing w,,TCL Transport Engineers Ltd Lotherton Way Garforth Leeds LS25 2GB,LS25 2GB,,,,,,53.798583,-1.37779,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD5VSMJBK1000,2026-05-01T22:40:08.893680
E60000071_TD5VK2JBK0X00,E60000071,Leeds,"Erection of three storey building to form seven apartments, office and communal spaces under class C",,Land Off Foundry Mill Street And Foundry Mill Mount Seacroft Leeds LS14 6TL,LS14 6TL,,,,,,53.813196,-1.475473,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD5VK2JBK0X00,2026-05-01T22:40:07.950530
E60000071_TD879UJBL1T00,E60000071,Leeds,Determination for installation of roof mounted solar PV equipment,,Kinetic 45 Unit 1 Newmarket Lane Cross Green Leeds LS9 0SH,LS9 0SH,,,,,,53.788683,-1.5002,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD879UJBL1T00,2026-05-01T22:40:06.837598
E60000071_TD7Q87JBKTP00,E60000071,Leeds,Certificate of Existing Lawful Development for construction of dormer structures to the existing roo,,7 Southfield Drive Moor Allerton Leeds LS17 6RP,LS17 6RP,,,,,,53.844933,-1.525143,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD7Q87JBKTP00,2026-05-01T22:40:05.788186
E60000071_TD7Q7EJBKTN00,E60000071,Leeds,"Certificate of Proposed Lawful Development for conversion of the garage to habitable accommodation, ",,Collingwood Hill Crest Collingham Wetherby LS22 5DN,LS22 5DN,,,,,,53.906533,-1.435142,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD7Q7EJBKTN00,2026-05-01T22:40:02.411536
E60000071_TD81IJJBL0A00,E60000071,Leeds,"T1 Horse Chestnut: Crown lift to approx. 4.5m, crown clean (remove crossing/rubbing and damaged bran",,The Lodge 96 Potternewton Lane Chapel Allerton Leeds LS7 3DH,LS7 3DH,,,,,,53.825071,-1.539541,https://publicaccess.leeds.gov.uk/online-applications,https://publicaccess.leeds.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=TD81IJJBL0A00,2026-05-01T22:40:01.393722
